"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","test_ingredient_counter_increases[chrome]","tests","2025-12-01","passed","2025-12-01","","test_ingredient","",""
"","92","test_go_to_order_feed[firefox]","tests","2025-12-01","passed","2025-12-01","","test_navigation","",""
"","3091","test_order_counters[firefox]","tests","2025-12-01","passed","2025-12-01","","test_order_feed","",""
"","61","test_go_to_order_feed[chrome]","tests","2025-12-01","passed","2025-12-01","","test_navigation","",""
"","704","test_open_and_close_ingredient[firefox]","tests","2025-12-01","passed","2025-12-01","","test_ingredient","",""
"","2621","test_order_form[firefox]","tests","2025-12-01","passed","2025-12-01","","test_order_form","",""
"","5134","test_order_form[chrome]","tests","2025-12-01","passed","2025-12-01","","test_order_form","",""
"","5136","test_order_counters[chrome]","tests","2025-12-01","passed","2025-12-01","","test_order_feed","",""
"","98","test_go_to_constructor[firefox]","tests","2025-12-01","passed","2025-12-01","","test_navigation","",""
"","57","test_go_to_constructor[chrome]","tests","2025-12-01","passed","2025-12-01","","test_navigation","",""
"","604","test_open_and_close_ingredient[chrome]","tests","2025-12-01","passed","2025-12-01","","test_ingredient","",""
"","31","test_ingredient_counter_increases[firefox]","tests","2025-12-01","passed","2025-12-01","","test_ingredient","",""
